file,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,YOLOv8x_BB426_760_t31_b_SAHI
2022-08-25_16-34-40.jpg,0.447,0.000,0.464,0.613,0.860,0.744,0.821
2022-08-25_17-04-40.jpg,0.435,0.000,0.500,0.706,0.912,0.786,0.807
2022-08-26_16-22-43.jpg,0.452,0.000,0.391,0.733,0.901,0.746,0.784
2022-08-26_16-42-43.jpg,0.333,0.000,0.360,0.571,0.848,0.806,0.696
2022-08-26_17-48-40.jpg,0.440,0.000,0.486,0.766,0.917,0.824,0.800
2022-08-26_17-52-43.jpg,0.385,0.000,0.421,0.696,0.912,0.889,0.786
2022-08-27_10-00-16.jpg,0.455,0.000,0.632,0.756,0.980,0.837,0.837
2022-08-27_11-10-16.jpg,0.371,0.000,0.305,0.548,0.894,0.911,0.926
2022-08-27_12-50-16.jpg,0.252,0.000,0.210,0.336,0.830,0.765,0.842
2022-08-27_15-20-15.jpg,0.242,0.000,0.244,0.369,0.864,0.773,0.768
2022-08-27_15-40-16.jpg,0.202,0.000,0.174,0.378,0.813,0.723,0.791
2022-08-27_17-00-16.jpg,0.535,0.000,0.517,0.838,0.914,0.889,0.889
2022-08-27_17-10-15.jpg,0.224,0.000,0.204,0.435,0.782,0.695,0.743
2022-08-27_17-20-16.jpg,0.386,0.000,0.564,0.851,0.941,0.898,0.840
2022-08-27_17-30-16.jpg,0.215,0.000,0.203,0.426,0.768,0.705,0.690
2022-08-27_17-40-16.jpg,0.120,0.000,0.198,0.423,0.827,0.755,0.745
2022-08-27_17-50-16.jpg,0.231,0.000,0.279,0.473,0.840,0.768,0.791
2022-08-28_10-40-16.jpg,0.308,0.000,0.429,0.704,0.825,0.800,0.758
2022-08-28_11-10-16.jpg,0.206,0.000,0.333,0.677,0.853,0.730,0.857
2022-08-28_11-30-17.jpg,0.323,0.000,0.289,0.484,0.851,0.738,0.719
2022-08-28_12-00-15.jpg,0.328,0.000,0.305,0.500,0.839,0.772,0.804
2022-08-28_16-00-14.jpg,0.558,0.000,0.706,0.872,1.000,0.900,0.850
2022-08-28_16-20-15.jpg,0.182,0.000,0.157,0.417,0.871,0.788,0.772
2022-08-29_13-13-48.jpg,0.361,0.000,0.533,0.842,0.929,0.892,0.876
2022-08-29_15-21-08.jpg,0.545,0.000,0.700,0.880,1.000,0.880,0.846
