file,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b
2022-08-25_16-34-40.jpg,0.599,0.334
2022-08-25_17-04-40.jpg,0.569,0.407
2022-08-26_16-22-43.jpg,0.616,0.349
2022-08-26_16-42-43.jpg,0.597,0.438
2022-08-26_17-48-40.jpg,0.680,0.500
2022-08-26_17-52-43.jpg,0.714,0.557
2022-08-27_10-00-16.jpg,0.799,0.409
2022-08-27_11-10-16.jpg,0.588,0.463
2022-08-27_12-50-16.jpg,0.486,0.365
2022-08-27_15-20-15.jpg,0.504,0.338
2022-08-27_15-40-16.jpg,0.436,0.342
2022-08-27_17-00-16.jpg,0.458,0.542
2022-08-27_17-10-15.jpg,0.427,0.357
2022-08-27_17-20-16.jpg,0.662,0.666
2022-08-27_17-30-16.jpg,0.452,0.346
2022-08-27_17-40-16.jpg,0.521,0.357
2022-08-27_17-50-16.jpg,0.585,0.422
2022-08-28_10-40-16.jpg,0.527,0.402
2022-08-28_11-10-16.jpg,0.632,0.415
2022-08-28_11-30-17.jpg,0.553,0.353
2022-08-28_12-00-15.jpg,0.580,0.449
2022-08-28_16-00-14.jpg,0.877,0.527
2022-08-28_16-20-15.jpg,0.432,0.321
2022-08-29_13-13-48.jpg,0.757,0.590
2022-08-29_15-21-08.jpg,0.785,0.529
2022-08-29_17-06-47.jpg,0.782,0.590
2022-08-29_17-23-48.jpg,0.710,0.601
2022-08-29_17-36-47.jpg,0.836,0.677
2022-08-29_18-03-48.jpg,0.592,0.537
2022-08-29_18-33-47.jpg,0.465,0.482
2022-09-02_15-00-16.jpg,0.803,0.797
2022-09-02_15-50-16.jpg,0.379,0.341
2022-09-04_14-43-18.jpg,0.605,0.628
2022-09-04_15-31-23.jpg,0.514,0.474
2022-09-07_17-45-59.jpg,0.423,0.388
2022-09-08_08-50-16.jpg,1.000,0.900
2022-09-10_14-41-54.jpg,0.846,0.728
2022-09-10_17-57-26.jpg,0.313,0.295
2022-09-10_18-17-26.jpg,0.314,0.269
2022-09-11_12-40-15.jpg,0.442,0.374
2022-10-24_17-30-16.jpg,0.845,0.826
2022-08-28_07-00-16.jpg,0.500,0.200
2022-09-08_10-20-16.jpg,0.404,0.326
2022-09-09_08-00-16.jpg,0.239,0.206
2022-09-10_17-31-54.jpg,0.629,0.547
2022-10-08_12-30-16.jpg,0.761,0.771
2022-10-08_14-10-16.jpg,0.850,0.925
2022-10-08_15-10-15.jpg,0.337,0.337
2022-10-09_11-00-16.jpg,0.601,0.900
2022-10-09_13-10-16.jpg,0.679,0.662
2022-10-09_16-40-16.jpg,0.742,0.696
2022-10-09_17-10-15.jpg,0.303,0.901
2022-10-13_14-54-06.jpg,0.850,0.925
2022-10-13_18-34-06.jpg,0.351,0.101
2022-10-14_07-30-15.jpg,0.200,0.000
2022-10-14_11-00-15.jpg,0.900,0.800
2022-10-14_13-40-15.jpg,0.579,0.505
2022-10-14_14-30-16.jpg,0.736,0.851
2022-10-14_16-00-16.jpg,0.395,0.346
2022-10-14_16-40-16.jpg,0.800,0.400
2022-10-15_07-40-17.jpg,1.000,0.000
2022-10-16_15-24-10.jpg,0.597,0.614
2022-10-16_16-24-10.jpg,0.800,0.900
2022-10-16_17-04-10.jpg,0.304,0.363
2022-10-18_08-20-16.jpg,1.000,1.000
2022-10-18_11-20-15.jpg,0.800,0.900
2022-10-18_12-20-15.jpg,0.800,0.500
2022-10-18_14-10-16.jpg,0.609,0.557
2022-10-18_15-40-15.jpg,0.293,0.435
2022-10-19_10-30-15.jpg,0.900,1.000
2022-10-19_11-50-16.jpg,0.900,0.900
2022-10-20_07-50-16.jpg,1.000,0.000
2022-10-20_11-00-16.jpg,1.000,1.000
2022-10-21_13-30-16.jpg,0.765,0.598
2022-10-21_17-50-16.jpg,0.428,0.333
2022-10-22_15-43-52.jpg,0.266,0.258
2022-10-27_08-50-16.jpg,0.602,0.702
