file,YOLOv8x_BB426_pre,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b
2022-08-25_16-34-40.jpg,0.889,0.952,0.914
2022-08-25_17-04-40.jpg,0.846,1.000,0.880
2022-08-26_16-22-43.jpg,1.000,0.941,0.833
2022-08-26_16-42-43.jpg,0.643,0.933,0.871
2022-08-26_17-48-40.jpg,0.818,1.000,0.840
2022-08-26_17-52-43.jpg,0.800,0.897,0.923
2022-08-27_10-00-16.jpg,0.923,1.000,1.000
2022-08-27_11-10-16.jpg,0.818,0.913,0.976
2022-08-27_12-50-16.jpg,0.929,0.922,0.872
2022-08-27_15-20-15.jpg,0.952,0.942,0.898
2022-08-27_15-40-16.jpg,0.938,0.926,0.839
2022-08-27_17-00-16.jpg,0.938,0.949,0.923
2022-08-27_17-10-15.jpg,1.000,0.836,0.802
2022-08-27_17-20-16.jpg,0.846,0.960,0.957
2022-08-27_17-30-16.jpg,0.923,0.796,0.788
2022-08-27_17-40-16.jpg,0.750,0.873,0.792
2022-08-27_17-50-16.jpg,1.000,0.852,0.810
2022-08-28_10-40-16.jpg,0.750,0.788,0.800
2022-08-28_11-10-16.jpg,1.000,0.914,0.794
2022-08-28_11-30-17.jpg,0.857,0.877,0.787
2022-08-28_12-00-15.jpg,0.941,0.849,0.795
2022-08-28_16-00-14.jpg,0.857,1.000,0.900
2022-08-28_16-20-15.jpg,0.941,0.917,0.861
2022-08-29_13-13-48.jpg,0.889,0.929,0.902
2022-08-29_15-21-08.jpg,1.000,1.000,0.917
2022-08-29_17-06-47.jpg,0.846,0.931,0.857
2022-08-29_17-23-48.jpg,0.875,0.871,0.812
2022-08-29_17-36-47.jpg,1.000,1.000,0.913
2022-08-29_18-03-48.jpg,0.900,0.909,0.927
2022-08-29_18-33-47.jpg,1.000,0.943,0.971
2022-09-02_15-00-16.jpg,1.000,0.750,0.857
2022-09-02_15-50-16.jpg,1.000,0.780,0.824
2022-09-04_14-43-18.jpg,1.000,0.750,1.000
2022-09-04_15-31-23.jpg,0.882,0.898,0.880
2022-09-07_17-45-59.jpg,1.000,0.875,1.000
2022-09-08_08-50-16.jpg,1.000,1.000,1.000
2022-09-10_14-41-54.jpg,0.857,0.900,0.889
2022-09-10_17-57-26.jpg,0.778,0.929,0.794
2022-09-10_18-17-26.jpg,0.750,0.865,0.844
2022-09-11_12-40-15.jpg,1.000,0.708,0.833
2022-10-24_17-30-16.jpg,0.800,0.667,0.889
2022-08-28_07-00-16.jpg,0.500,1.000,1.000
2022-09-08_10-20-16.jpg,0.500,0.077,1.000
2022-09-09_08-00-16.jpg,1.000,0.500,0.500
2022-09-10_17-31-54.jpg,1.000,0.889,1.000
2022-10-08_12-30-16.jpg,1.000,0.857,1.000
2022-10-08_14-10-16.jpg,1.000,0.667,1.000
2022-10-08_15-10-15.jpg,1.000,1.000,0.500
2022-10-09_11-00-16.jpg,0.500,0.500,1.000
2022-10-09_13-10-16.jpg,0.667,0.625,1.000
2022-10-09_16-40-16.jpg,0.000,0.714,1.000
2022-10-09_17-10-15.jpg,1.000,1.000,1.000
2022-10-13_14-54-06.jpg,1.000,0.500,1.000
2022-10-13_18-34-06.jpg,1.000,0.500,1.000
2022-10-14_07-30-15.jpg,0.000,0.333,0.000
2022-10-14_11-00-15.jpg,0.000,0.250,1.000
2022-10-14_13-40-15.jpg,0.500,0.400,1.000
2022-10-14_14-30-16.jpg,0.500,0.054,1.000
2022-10-14_16-00-16.jpg,0.500,0.667,1.000
2022-10-14_16-40-16.jpg,0.000,0.500,1.000
2022-10-15_07-40-17.jpg,1.000,1.000,0.000
2022-10-16_15-24-10.jpg,1.000,0.500,1.000
2022-10-16_16-24-10.jpg,0.000,0.500,1.000
2022-10-16_17-04-10.jpg,0.000,0.600,1.000
2022-10-18_08-20-16.jpg,0.000,1.000,1.000
2022-10-18_11-20-15.jpg,0.333,1.000,1.000
2022-10-18_12-20-15.jpg,1.000,0.500,0.500
2022-10-18_14-10-16.jpg,0.000,0.667,1.000
2022-10-18_15-40-15.jpg,1.000,0.375,0.750
2022-10-19_10-30-15.jpg,1.000,1.000,1.000
2022-10-19_11-50-16.jpg,1.000,0.250,1.000
2022-10-20_07-50-16.jpg,1.000,1.000,0.000
2022-10-20_11-00-16.jpg,1.000,1.000,1.000
2022-10-21_13-30-16.jpg,0.500,1.000,1.000
2022-10-21_17-50-16.jpg,0.667,0.875,1.000
2022-10-22_15-43-52.jpg,0.667,0.667,0.500
2022-10-27_08-50-16.jpg,0.667,0.667,1.000
