file,metric,DertResNet50_pre_BB426,insightface_pre_BB426,YOLOv8x_pre_BB426,YOLOv8x_pre_BB426_SAHI,YOLOv8x_BB158_500_t16_b,YOLOv8x_BB426_760_t31_b,best_model_name
2022-08-25_16-34-40.jpg,accuracy,0.288,0.000,0.302,0.442,0.755,0.593,YOLOv8x_BB158_500_t16_b
2022-08-25_16-34-40.jpg,precision,0.680,0.000,0.889,0.958,0.952,0.914,YOLOv8x_pre_BB426_SAHI
2022-08-25_16-34-40.jpg,recall,0.333,0.000,0.314,0.451,0.784,0.627,YOLOv8x_BB158_500_t16_b
2022-08-25_16-34-40.jpg,f1score,0.447,0.000,0.464,0.613,0.860,0.744,YOLOv8x_BB158_500_t16_b
2022-08-25_16-34-40.jpg,support,51.000,0.000,51.000,51.000,51.000,51.000,DertResNet50_pre_BB426
2022-08-25_16-34-40.jpg,mAP,0.085,0.000,0.192,0.261,0.598,0.334,YOLOv8x_BB158_500_t16_b
2022-08-25_17-04-40.jpg,accuracy,0.278,0.000,0.333,0.545,0.839,0.647,YOLOv8x_BB158_500_t16_b
2022-08-25_17-04-40.jpg,precision,0.667,0.000,0.846,0.900,1.000,0.880,YOLOv8x_BB158_500_t16_b
2022-08-25_17-04-40.jpg,recall,0.323,0.000,0.355,0.581,0.839,0.710,YOLOv8x_BB158_500_t16_b
2022-08-25_17-04-40.jpg,f1score,0.435,0.000,0.500,0.706,0.912,0.786,YOLOv8x_BB158_500_t16_b
2022-08-25_17-04-40.jpg,support,31.000,0.000,31.000,31.000,31.000,31.000,DertResNet50_pre_BB426
2022-08-25_17-04-40.jpg,mAP,0.112,0.000,0.232,0.374,0.569,0.410,YOLOv8x_BB158_500_t16_b
2022-08-26_16-22-43.jpg,accuracy,0.292,0.000,0.243,0.579,0.821,0.595,YOLOv8x_BB158_500_t16_b
2022-08-26_16-22-43.jpg,precision,0.560,0.000,1.000,0.957,0.941,0.833,YOLOv8x_pre_BB426
2022-08-26_16-22-43.jpg,recall,0.378,0.000,0.243,0.595,0.865,0.676,YOLOv8x_BB158_500_t16_b
2022-08-26_16-22-43.jpg,f1score,0.452,0.000,0.391,0.733,0.901,0.746,YOLOv8x_BB158_500_t16_b
2022-08-26_16-22-43.jpg,support,37.000,0.000,37.000,37.000,37.000,37.000,DertResNet50_pre_BB426
2022-08-26_16-22-43.jpg,mAP,0.128,0.000,0.163,0.362,0.616,0.349,YOLOv8x_BB158_500_t16_b
2022-08-26_16-42-43.jpg,accuracy,0.200,0.000,0.220,0.400,0.737,0.675,YOLOv8x_BB158_500_t16_b
2022-08-26_16-42-43.jpg,precision,0.367,0.000,0.643,0.800,0.933,0.871,YOLOv8x_BB158_500_t16_b
2022-08-26_16-42-43.jpg,recall,0.306,0.000,0.250,0.444,0.778,0.750,YOLOv8x_BB158_500_t16_b
