                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8331,                 1.2696,                 1.0623,                0.58847,                0.32787,                0.39427,                0.21557,                 1.4499,                 1.2046,                0.95444,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.6049,                 1.0871,                 1.0429,                 0.6077,                 0.3071,                0.37915,                0.19898,                 1.4543,                 1.0694,                0.94758,               0.091896,             0.00089554,             0.00089554
                      2,                  1.519,                  0.883,                0.93749,                0.54506,                0.32735,                0.36155,                0.18159,                 1.4961,                0.95855,                0.95729,               0.087386,              0.0013861,              0.0013861
                      3,                 1.5751,                0.85112,                0.95195,                0.56632,                0.33253,                0.36171,                 0.1805,                 1.5132,                0.93808,                 0.9587,               0.082872,              0.0018718,              0.0018718
                      4,                 1.6814,                0.87652,                0.94871,                0.57835,                0.29399,                0.33233,                0.16507,                 1.5627,                0.92853,                0.96727,               0.078352,              0.0023525,              0.0023525
                      5,                 1.5597,                0.81254,                0.94024,                0.64678,                0.31257,                0.35875,                0.17592,                 1.5397,                 1.1028,                 0.9693,               0.073828,              0.0028282,              0.0028282
                      6,                  1.512,                 0.8553,                0.91493,                0.58128,                0.30929,                0.36103,                0.18288,                  1.586,                0.90197,                0.97229,               0.069299,               0.003299,               0.003299
                      7,                 1.6174,                0.89465,                0.94111,                0.56065,                0.29836,                0.32993,                0.16245,                 1.6944,                0.97001,                0.97582,               0.064765,              0.0037649,              0.0037649
                      8,                  1.629,                0.85106,                0.93009,                0.60648,                0.28852,                 0.3141,                0.16306,                 1.7245,                 1.0349,                0.98761,               0.060226,              0.0042258,              0.0042258
                      9,                 1.6743,                0.83865,                0.93106,                0.63447,                0.29836,                0.32957,                0.16506,                 1.6925,                 1.1015,                 0.9674,               0.055682,              0.0046817,              0.0046817
